channel_id,channel_name,uploads_playlist_id,subscriber_count
UCUrc_4nqIEh7hDWVFWLLoMQ,shobeezy,UUUrc_4nqIEh7hDWVFWLLoMQ,44800
UC6m-YSnjzixUS0uRcCy5Lrg,TunedinTony,UU6m-YSnjzixUS0uRcCy5Lrg,6900
UCpWT_QfKk7BJIpn709YgsYA,Website Learners,UUpWT_QfKk7BJIpn709YgsYA,1450000
UCvrz_70X-VqvA1GspLSG4aA,Hunter Ezra,UUvrz_70X-VqvA1GspLSG4aA,2060
UCLSXOwjIhyU67QuIvt51dbQ,Mike Nardi,UULSXOwjIhyU67QuIvt51dbQ,131000
UCofS_FvauuHc-x6mq7yz6nA,Paul Millerd,UUofS_FvauuHc-x6mq7yz6nA,2580
UClgWErUooxWg0sZ084Tl0rg,More Ryan Serhant,UUlgWErUooxWg0sZ084Tl0rg,132000
UCvi7nRC06zB9x9coeA0jlmg,@ujalafatima323.65k views. 2 hours,UUvi7nRC06zB9x9coeA0jlmg,20
UC9c1sjrxf1BzoI6Ts3ee7gA,Make Money Coaching Sports,UU9c1sjrxf1BzoI6Ts3ee7gA,8020
UC7BgGvKfQkHk9-uZc0PkKvg,OnlineSyndrome | Marketing & Technology Firm,UU7BgGvKfQkHk9-uZc0PkKvg,2710
UC1gEnv0VYsQwBScnzLThP2w,Ashleigh King,UU1gEnv0VYsQwBScnzLThP2w,203000
UC0jB9fB5gzCplA3-2pGw6ag,DAY TRADER తెలుగు 2.0,UU0jB9fB5gzCplA3-2pGw6ag,389000
UCQUCvRbU_cb8cWi8qxh_7lA,Ramadan Radio London,UUQUCvRbU_cb8cWi8qxh_7lA,738
UCi7KXaqqW_h6ifNVnudH0kQ,Lost LeVlog,UUi7KXaqqW_h6ifNVnudH0kQ,37000
UC_KL_-8-6bnhQUOKoC6kADw,Sharif Mohsin,UU_KL_-8-6bnhQUOKoC6kADw,212000
